time,lat,lon,pitch,roll,yaw,pitch_rate,roll_rate,yaw_rate,pitch_gain,roll_gain,yaw_gain,pitch_setpoint,roll_setpoint,yaw_setpoint,throttle_setpoint,editing_gain
1423400,0.0,0.0,-75.17040252685547,86.06503295898438,-69.97461700439453,-0.13921207189559937,0.07131976634263992,0.09045067429542542,0.0,0.31496062874794006,25.944881439208984,-116,48,-18,0,b'\x02'
1423620,0.0,0.0,-81.2203598022461,88.37744903564453,-67.62559509277344,-0.3727550804615021,0.010070960968732834,-0.41606947779655457,0.0,0.31496062874794006,25.944881439208984,-66,48,-18,1,b'\x02'
1423840,0.0,0.0,-91.09085083007812,98.24276733398438,-67.78507232666016,0.12034322321414948,0.3740391433238983,-0.21799756586551666,0.0,0.31496062874794006,25.944881439208984,18,50,-17,0,b'\x02'
1424060,0.0,0.0,-94.0216293334961,100.81322479248047,-65.33936309814453,0.06538581848144531,0.051878396421670914,-0.11069232225418091,0.0,0.31496062874794006,25.944881439208984,19,50,-18,0,b'\x02'
1424280,0.0,0.0,-100.4622573852539,107.27899169921875,-69.01981353759766,-0.053038258105516434,-0.13636478781700134,0.12387372553348541,0.0,0.31496062874794006,25.944881439208984,19,50,-17,1,b'\x02'
1424500,0.0,0.0,-104.02030181884766,111.25350952148438,-69.33210754394531,-0.018296124413609505,-0.060588084161281586,0.06762741506099701,0.0,0.31496062874794006,25.944881439208984,18,50,-17,0,b'\x02'
1424720,0.0,0.0,-108.14713287353516,115.58251190185547,-69.70492553710938,-0.009425671771168709,-0.031142864376306534,0.06853453069925308,0.0,0.31496062874794006,25.944881439208984,19,50,-17,0,b'\x02'
1424940,0.0,0.0,-112.3475112915039,120.00750732421875,-69.89781188964844,-0.0045037642121315,-0.027559170499444008,0.06529737263917923,0.0,0.31496062874794006,25.944881439208984,19,50,-17,0,b'\x02'
1425160,0.0,0.0,-116.41667175292969,124.29813385009766,-69.93175506591797,-8.683279156684875e-05,-0.02299843356013298,0.06524352729320526,0.0,0.31496062874794006,25.944881439208984,18,50,-17,0,b'\x02'
1425380,0.0,0.0,-120.49809265136719,128.597900390625,-69.80998992919922,0.0037726610898971558,-0.02554575726389885,0.059076882898807526,0.0,0.31496062874794006,25.944881439208984,18,50,-17,0,b'\x02'
